edad,edad_quinquenal,ano,sexo,tipo_beneficio,estado,caja,suma_aportes,suma_salarios,cantidad,sml
16,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,91667687.0,103,2192839
16,15 a 19,2020,Mujeres,Otros,Pasivos,IPS,0.0,23238182.0,2,2192839
17,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,104407542.0,95,2192839
17,15 a 19,2020,Hombres,Otros,Pasivos,IPS,0.0,7674936.0,1,2192839
17,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,108205941.0,103,2192839
18,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,6681549.0,1,2192839
18,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3406815.0,1,2192839
19,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,483158.0,1,2192839
20,20 a 24,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1418628.0,2,2192839
20,20 a 24,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3561373.0,1,2192839
21,20 a 24,2020,Hombres,Invalidez,Pasivos,IPS,0.0,2207707.0,3,2192839
21,20 a 24,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1493449.0,1,2192839
21,20 a 24,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,2473433.0,2,2192839
22,20 a 24,2020,Hombres,Invalidez,Pasivos,IPS,0.0,1457241.0,1,2192839
22,20 a 24,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,6842659.0,3,2192839
22,20 a 24,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,411469.0,1,2192839
22,20 a 24,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1112815.0,2,2192839
23,20 a 24,2020,Hombres,Invalidez,Pasivos,IPS,0.0,3109986.0,5,2192839
23,20 a 24,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,5101999.0,6,2192839
23,20 a 24,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1597599.0,1,2192839
24,20 a 24,2020,Hombres,Invalidez,Pasivos,IPS,0.0,4511300.0,7,2192839
24,20 a 24,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,4045151.0,4,2192839
24,20 a 24,2020,Hombres,Otros,Pasivos,IPS,0.0,4728780.0,1,2192839
24,20 a 24,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1919747.0,2,2192839
25,25 a 29,2020,Hombres,Invalidez,Pasivos,IPS,0.0,5536048.0,6,2192839
25,25 a 29,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,2650453.0,2,2192839
25,25 a 29,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,2826540.0,3,2192839
25,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,3063793.0,2,2192839
26,25 a 29,2020,Hombres,Invalidez,Pasivos,IPS,0.0,6603697.0,11,2192839
26,25 a 29,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,8801281.0,6,2192839
26,25 a 29,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,825725.0,1,2192839
26,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1582082.0,3,2192839
27,25 a 29,2020,Hombres,Invalidez,Pasivos,IPS,0.0,8296709.0,10,2192839
27,25 a 29,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,2834675.0,2,2192839
27,25 a 29,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,2218657.0,3,2192839
27,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1504469.0,3,2192839
28,25 a 29,2020,Hombres,Invalidez,Pasivos,IPS,0.0,10911483.0,11,2192839
28,25 a 29,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,4594685.0,4,2192839
28,25 a 29,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,3100887.0,3,2192839
28,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1271683.0,2,2192839
29,25 a 29,2020,Hombres,Invalidez,Pasivos,IPS,0.0,7554934.0,9,2192839
29,25 a 29,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,8600601.0,5,2192839
29,25 a 29,2020,Hombres,Otros,Pasivos,IPS,0.0,7482125.0,2,2192839
29,25 a 29,2020,Mujeres,Invalidez,Pasivos,IPS,0.0,8433166.0,4,2192839
29,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1148019.0,3,2192839
30,30 a 34,2020,Hombres,Invalidez,Pasivos,IPS,0.0,20167719.0,19,2192839
30,30 a 34,2020,Hombres,Pensión/Sobrevivencia,Pasivos,IPS,0.0,1434514.0,3,2192839
