edad,gq,year,sexo,tipobenr,estado,caja,mes,masaaportes,masamontoing,cantidad,sml,montoprom
53,50 a 54,2020,Hombres,Activos,Activos,Ande,12,176982665.5,1769826655.0,123,2192839.0,14388834.593495935
53,50 a 54,2020,Mujeres,Activos,Activos,Ande,12,17394266.2,173942662.0,17,2192839.0,10231921.294117646
54,50 a 54,2020,Hombres,Activos,Activos,Ande,12,184480458.10000005,1844804581.0,132,2192839.0,13975792.280303031
54,50 a 54,2020,Mujeres,Activos,Activos,Ande,12,34651375.9,346513759.0,25,2192839.0,13860550.36
55,55 a 59,2020,Hombres,Activos,Activos,Ande,12,189184234.50000003,1891842345.0,124,2192839.0,15256793.10483871
55,55 a 59,2020,Mujeres,Activos,Activos,Ande,12,27510302.799999997,275103028.0,21,2192839.0,13100144.19047619
56,55 a 59,2020,Hombres,Activos,Activos,Ande,12,208758925.99999997,2087589260.0,129,2192839.0,16182862.480620155
56,55 a 59,2020,Mujeres,Activos,Activos,Ande,12,34487220.00000001,344872200.0,26,2192839.0,13264315.384615384
57,55 a 59,2020,Hombres,Activos,Activos,Ande,12,193518290.99999997,1935182910.0,135,2192839.0,14334688.222222222
57,55 a 59,2020,Mujeres,Activos,Activos,Ande,12,33930244.300000004,339302443.0,25,2192839.0,13572097.72
58,55 a 59,2020,Hombres,Activos,Activos,Ande,12,189976433.3,1899764333.0,118,2192839.0,16099697.737288136
58,55 a 59,2020,Mujeres,Activos,Activos,Ande,12,29973236.500000007,299732365.0,23,2192839.0,13031841.956521738
59,55 a 59,2020,Hombres,Activos,Activos,Ande,12,233628994.0000001,2336289940.0,140,2192839.0,16687785.285714285
59,55 a 59,2020,Mujeres,Activos,Activos,Ande,12,27636923.2,276369232.0,19,2192839.0,14545749.05263158
60,60 a 64,2020,Hombres,Activos,Activos,Ande,12,47762326.699999996,477623267.0,40,2192839.0,11940581.675
60,60 a 64,2020,Mujeres,Activos,Activos,Ande,12,5645598.300000001,56455983.0,5,2192839.0,11291196.6
61,60 a 64,2020,Hombres,Activos,Activos,Ande,12,21154366.900000002,211543669.0,23,2192839.0,9197550.826086957
62,60 a 64,2020,Hombres,Activos,Activos,Ande,12,11788634.799999999,117886348.0,12,2192839.0,9823862.333333334
63,60 a 64,2020,Hombres,Activos,Activos,Ande,12,14325804.7,143258047.0,16,2192839.0,8953627.9375
63,60 a 64,2020,Mujeres,Activos,Activos,Ande,12,666621.2000000001,6666212.0,1,2192839.0,6666212.0
64,60 a 64,2020,Hombres,Activos,Activos,Ande,12,12817835.500000002,128178355.0,14,2192839.0,9155596.785714285
64,60 a 64,2020,Mujeres,Activos,Activos,Ande,12,1289497.2000000002,12894972.0,1,2192839.0,12894972.0
65,65 a 69,2020,Hombres,Activos,Activos,Ande,12,6776346.799999999,67763468.0,9,2192839.0,7529274.222222222
66,65 a 69,2020,Hombres,Activos,Activos,Ande,12,9671151.0,96711510.0,9,2192839.0,10745723.333333334
67,65 a 69,2020,Hombres,Activos,Activos,Ande,12,4318343.800000001,43183438.0,5,2192839.0,8636687.6
67,65 a 69,2020,Mujeres,Activos,Activos,Ande,12,329507.2,3295072.0,1,2192839.0,3295072.0
68,65 a 69,2020,Hombres,Activos,Activos,Ande,12,6120259.100000001,61202591.0,6,2192839.0,10200431.833333334
69,65 a 69,2020,Hombres,Activos,Activos,Ande,12,3662034.3,36620343.0,4,2192839.0,9155085.75
70,70 a 74,2020,Hombres,Activos,Activos,Ande,12,1060351.9000000001,10603519.0,1,2192839.0,10603519.0
71,70 a 74,2020,Hombres,Activos,Activos,Ande,12,2241495.4000000004,22414954.0,3,2192839.0,7471651.333333333
1,0 a 4,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,710999.0,1,2192839.0,710999.0
4,0 a 4,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1921743.0,1,2192839.0,1921743.0
4,0 a 4,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1040131.0,1,2192839.0,1040131.0
5,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,977659.0,1,2192839.0,977659.0
5,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,3035898.0,1,2192839.0,3035898.0
6,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,710999.0,1,2192839.0,710999.0
6,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1655352.0,1,2192839.0,1655352.0
7,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1758936.0,2,2192839.0,879468.0
8,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,4945766.0,3,2192839.0,1648588.6666666667
9,5 a 9,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1655352.0,1,2192839.0,1655352.0
9,5 a 9,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,788762.0,1,2192839.0,788762.0
10,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1441543.0,1,2192839.0,1441543.0
11,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,2245427.0,2,2192839.0,1122713.5
12,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,4649208.0,4,2192839.0,1162302.0
12,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,7129612.0,5,2192839.0,1425922.4
13,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,996358.0,2,2192839.0,498179.0
13,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,6064944.0,2,2192839.0,3032472.0
14,10 a 14,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,8707437.0,4,2192839.0,2176859.25
14,10 a 14,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,6925258.0,4,2192839.0,1731314.5
15,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,2901645.0,2,2192839.0,1450822.5
15,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,2907544.0,3,2192839.0,969181.3333333334
16,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,8097591.0,4,2192839.0,2024397.75
16,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,2363638.0,3,2192839.0,787879.3333333334
17,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,13290588.0,9,2192839.0,1476732.0
17,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,8656828.0,5,2192839.0,1731365.6
18,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,4335418.0,3,2192839.0,1445139.3333333333
18,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,13082260.0,6,2192839.0,2180376.6666666665
19,15 a 19,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,10761507.0,9,2192839.0,1195723.0
19,15 a 19,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,9422092.0,6,2192839.0,1570348.6666666667
20,20 a 24,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,746262.0,2,2192839.0,373131.0
25,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1308789.0,1,2192839.0,1308789.0
29,25 a 29,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,564477.0,1,2192839.0,564477.0
31,30 a 34,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1075393.0,1,2192839.0,1075393.0
32,30 a 34,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,788763.0,1,2192839.0,788763.0
38,35 a 39,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1558313.0,1,2192839.0,1558313.0
40,40 a 44,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1540241.0,1,2192839.0,1540241.0
40,40 a 44,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1288622.0,1,2192839.0,1288622.0
41,40 a 44,2020,Hombres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,2067386.0,1,2192839.0,2067386.0
41,40 a 44,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,2640827.0,2,2192839.0,1320413.5
42,40 a 44,2020,Mujeres,Invalidez,Pasivos,Ande,12,0.0,2331672.0,1,2192839.0,2331672.0
42,40 a 44,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,1602812.0,1,2192839.0,1602812.0
43,40 a 44,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,8255325.0,4,2192839.0,2063831.25
44,40 a 44,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,5005474.0,3,2192839.0,1668491.3333333333
45,45 a 49,2020,Mujeres,Invalidez,Pasivos,Ande,12,0.0,9479743.0,1,2192839.0,9479743.0
45,45 a 49,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,5438986.0,2,2192839.0,2719493.0
46,45 a 49,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,6435802.0,3,2192839.0,2145267.3333333335
47,45 a 49,2020,Hombres,Invalidez,Pasivos,Ande,12,0.0,14159709.0,1,2192839.0,14159709.0
47,45 a 49,2020,Mujeres,Pensión/Sobrevivencia,Pasivos,Ande,12,0.0,7903654.0,2,2192839.0,3951827.0
